date,nav
2025-08-07,15.00
2025-08-08,15.20
2025-08-09,15.10
2025-08-10,15.25
2025-08-11,15.40
2025-08-12,15.50
2025-08-13,15.55
2025-08-14,15.60
2025-08-15,15.75
2025-08-16,15.90
2025-08-17,16.00
2025-08-18,16.20
2025-08-19,16.15
2025-08-20,16.30
2025-08-21,16.40
2025-08-22,16.50
2025-08-23,16.65
2025-08-24,16.80
2025-08-25,16.70
2025-08-26,16.85
2025-08-27,17.00
2025-08-28,17.10
2025-08-29,17.20
2025-08-30,17.30
2025-08-31,17.40
2025-09-01,17.55
2025-09-02,17.60
2025-09-03,17.70
2025-09-04,17.80
2025-09-05,17.90
