date,nav
2025-08-07,12.30
2025-08-08,12.35
2025-08-09,12.32
2025-08-10,12.40
2025-08-11,12.42
2025-08-12,12.50
2025-08-13,12.48
2025-08-14,12.55
2025-08-15,12.60
2025-08-16,12.65
2025-08-17,12.70
2025-08-18,12.72
2025-08-19,12.68
2025-08-20,12.74
2025-08-21,12.80
2025-08-22,12.85
2025-08-23,12.82
2025-08-24,12.88
2025-08-25,12.95
2025-08-26,12.98
2025-08-27,13.00
2025-08-28,13.05
2025-08-29,13.10
2025-08-30,13.15
2025-08-31,13.12
2025-09-01,13.20
2025-09-02,13.25
2025-09-03,13.30
2025-09-04,13.28
2025-09-05,13.35
